,0,1,accuracy,macro avg,weighted avg
precision,0.0,0.9583333333333334,0.92,0.4791666666666667,0.92
recall,0.0,0.9583333333333334,0.92,0.4791666666666667,0.92
f1-score,0.0,0.9583333333333334,0.92,0.4791666666666667,0.92
support,1.0,24.0,0.92,25.0,25.0
