,0,1,accuracy,macro avg,weighted avg
precision,0.0,0.96,0.96,0.48,0.9216
recall,0.0,1.0,0.96,0.5,0.96
f1-score,0.0,0.9795918367346939,0.96,0.4897959183673469,0.9404081632653061
support,1.0,24.0,0.96,25.0,25.0
