,0,1,accuracy,macro avg,weighted avg
precision,0.5,0.9565217391304348,0.92,0.7282608695652174,0.92
recall,0.5,0.9565217391304348,0.92,0.7282608695652174,0.92
f1-score,0.5,0.9565217391304348,0.92,0.7282608695652174,0.92
support,2.0,23.0,0.92,25.0,25.0
