,0,1,accuracy,macro avg,weighted avg
precision,0.6825396825396826,0.9187279151943463,0.8757225433526011,0.8006337988670145,0.8736746685029942
recall,0.6515151515151515,0.9285714285714286,0.8757225433526011,0.7900432900432901,0.8757225433526011
f1-score,0.6666666666666666,0.9236234458259325,0.8757225433526011,0.7951450562462996,0.8746085688764771
support,66.0,280.0,0.8757225433526011,346.0,346.0
