id,test_time,test_author,dataset_name,dataset_length,refused (%),aggregate_cat,grid_search,features,text_enc,algo_name,accuracy,recall_0,recall_1,precision_0,precision_1,f_score_macro,params
W27VjDB8Ki9vmDUurx2cgt,06/07/2021 16:10:20,giulia,output_api_entreprise,424,29.25,True,False,"['categorie_juridique_label', 'activite_principale_label', 'target_api', 'nom_raison_sociale', 'intitule', 'fondement_juridique_title', 'description']","TfidfVectorizer(ngram_range=(1, 3))",LogisticRegression,0.7358490566037735,0.4516129032258064,0.8533333333333334,0.56,0.7901234567901234,0.6602564102564102,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
MDxiJsrEC2FUDJywkhjwto,06/07/2021 16:47:26,giulia,franceconnect,1384,19.0,True,False,"['categorie_juridique_label', 'activite_principale_label', 'target_api', 'nom_raison_sociale', 'intitule', 'fondement_juridique_title', 'description']","TfidfVectorizer(ngram_range=(1, 3))",LogisticRegression,0.9104046242774566,0.6818181818181818,0.9642857142857144,0.8181818181818182,0.9278350515463918,0.8447554674270166,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
H3CpDStZrwcGyToamhwmnd,06/07/2021 16:47:44,giulia,api_particulier,302,27.81,True,False,"['categorie_juridique_label', 'activite_principale_label', 'target_api', 'nom_raison_sociale', 'intitule', 'fondement_juridique_title', 'description']","TfidfVectorizer(ngram_range=(1, 3))",CatBoostClassifier,0.9210526315789473,0.7619047619047619,0.9818181818181818,0.9411764705882353,0.9152542372881356,0.8947368421052632,{}
