,0,1,accuracy,macro avg,weighted avg
precision,0.7,0.875,0.8289473684210527,0.7875,0.8266447368421053
recall,0.6666666666666666,0.8909090909090909,0.8289473684210527,0.7787878787878788,0.8289473684210527
f1-score,0.6829268292682926,0.8828828828828829,0.8289473684210527,0.7829048560755878,0.8276318680683251
support,21.0,55.0,0.8289473684210527,76.0,76.0
