,0,1,accuracy,macro avg,weighted avg
precision,0.7291666666666666,0.8842281879194631,0.8627167630057804,0.8066974272930649,0.8530814372631933
recall,0.5035971223021583,0.9529837251356239,0.8627167630057804,0.7282904237188911,0.8627167630057804
f1-score,0.5957446808510638,0.917319408181027,0.8627167630057804,0.7565320445160454,0.8527256406971182
support,139.0,553.0,0.8627167630057804,692.0,692.0
