,0,1,accuracy,macro avg,weighted avg
precision,0.0,0.6,0.5,0.3,0.39999999999999997
recall,0.0,0.75,0.5,0.375,0.5
f1-score,0.0,0.6666666666666665,0.5,0.33333333333333326,0.44444444444444436
support,2.0,4.0,0.5,6.0,6.0
