iter	Passed	Remaining
406	6309	9193
407	6323	9175
408	6338	9158
409	6351	9140
410	6364	9121
411	6377	9101
412	6390	9082
413	6403	9063
414	6417	9046
415	6433	9031
416	6449	9017
417	6466	9003
418	6481	8987
419	6496	8971
420	6512	8957
421	6528	8942
422	6544	8926
423	6560	8912
424	6576	8897
425	6591	8881
426	6606	8865
427	6621	8849
428	6638	8836
429	6657	8825
430	6674	8811
431	6692	8799
432	6709	8786
433	6727	8773
434	6743	8758
435	6758	8743
436	6774	8727
437	6789	8712
438	6805	8696
439	6820	8680
440	6838	8668
441	6853	8652
442	6870	8638
443	6889	8626
444	6905	8612
445	6922	8598
446	6938	8583
447	6953	8567
448	6968	8551
449	6983	8535
450	6999	8520
451	7014	8503
452	7029	8488
453	7045	8472
454	7061	8458
455	7079	8445
456	7096	8431
457	7114	8418
458	7132	8406
459	7148	8392
460	7163	8375
461	7176	8357
462	7190	8339
463	7203	8321
464	7216	8303
465	7229	8284
466	7243	8266
467	7257	8249
468	7271	8232
469	7287	8217
470	7302	8202
471	7318	8187
472	7334	8171
473	7349	8155
474	7363	8138
475	7377	8121
476	7391	8104
477	7405	8086
478	7418	8069
479	7432	8051
480	7445	8034
481	7459	8016
482	7475	8001
483	7490	7985
484	7506	7971
485	7523	7956
486	7540	7942
487	7557	7929
488	7573	7914
489	7589	7899
490	7605	7883
491	7620	7868
492	7636	7853
493	7651	7837
494	7667	7822
495	7685	7809
496	7703	7796
497	7721	7783
498	7739	7770
499	7757	7757
500	7773	7742
501	7789	7727
502	7805	7712
503	7821	7696
504	7836	7681
505	7851	7665
506	7866	7648
507	7883	7634
508	7901	7622
509	7918	7608
510	7937	7595
511	7954	7581
512	7972	7568
513	7988	7553
514	8004	7537
515	8019	7521
516	8034	7506
517	8049	7490
518	8064	7474
519	8079	7458
520	8095	7443
521	8110	7427
522	8126	7411
523	8143	7397
524	8161	7384
525	8180	7371
526	8197	7357
527	8212	7341
528	8227	7325
529	8241	7308
530	8252	7289
531	8263	7269
532	8275	7250
533	8287	7232
534	8300	7214
535	8317	7199
536	8332	7184
537	8349	7169
538	8365	7154
539	8381	7139
540	8398	7125
541	8415	7111
542	8431	7095
543	8446	7080
544	8462	7064
545	8477	7048
546	8492	7033
547	8509	7018
548	8524	7002
549	8541	6988
550	8560	6975
551	8577	6961
552	8595	6948
553	8612	6933
554	8628	6917
555	8643	6902
556	8658	6886
557	8673	6870
558	8688	6854
559	8703	6838
560	8719	6823
561	8736	6809
562	8754	6794
563	8770	6779
564	8787	6765
565	8803	6750
566	8820	6735
567	8835	6719
568	8849	6703
569	8864	6687
570	8879	6671
571	8894	6655
572	8910	6639
573	8926	6624
574	8941	6609
575	8958	6594
576	8975	6579
577	8993	6565
578	9009	6550
579	9025	6535
580	9038	6518
581	9051	6500
582	9063	6482
583	9076	6465
584	9089	6447
585	9102	6430
586	9115	6413
587	9129	6396
588	9144	6380
589	9158	6364
590	9173	6348
591	9188	6332
592	9204	6317
593	9220	6302
594	9235	6286
595	9249	6269
596	9263	6253
597	9277	6236
598	9291	6219
599	9304	6203
600	9318	6186
601	9332	6169
602	9347	6154
603	9361	6137
604	9378	6123
605	9395	6108
606	9410	6092
607	9426	6077
608	9441	6061
609	9456	6045
610	9469	6029
611	9483	6012
612	9497	5996
613	9510	5979
614	9524	5962
615	9538	5945
616	9553	5930
617	9568	5914
618	9585	5900
619	9603	5886
620	9621	5871
621	9638	5857
622	9655	5842
623	9670	5827
624	9685	5811
625	9701	5796
626	9717	5780
627	9732	5765
628	9748	5750
629	9765	5735
630	9783	5721
631	9803	5708
632	9820	5693
633	9838	5679
634	9855	5665
635	9871	5649
636	9886	5634
637	9902	5618
638	9917	5602
639	9931	5586
640	9946	5570
641	9963	5555
642	9980	5541
643	10000	5528
644	10017	5513
645	10034	5498
646	10051	5483
647	10065	5467
648	10080	5451
649	10095	5435
650	10110	5420
651	10125	5404
652	10139	5388
653	10155	5372
654	10172	5358
655	10189	5343
656	10206	5328
657	10226	5315
658	10243	5300
659	10259	5285
660	10274	5269
661	10289	5253
662	10304	5237
663	10319	5222
664	10335	5206
665	10350	5190
666	10366	5175
667	10384	5160
668	10401	5146
669	10417	5131
670	10433	5115
671	10450	5101
672	10467	5085
673	10482	5070
674	10497	5054
675	10511	5038
676	10526	5022
677	10541	5006
678	10556	4990
679	10571	4974
680	10590	4960
681	10607	4945
682	10623	4930
683	10641	4916
684	10657	4901
685	10675	4886
686	10691	4871
687	10707	4855
688	10722	4839
689	10737	4823
690	10752	4808
691	10769	4793
692	10786	4778
693	10802	4762
694	10818	4747
695	10835	4732
696	10852	4717
697	10870	4703
698	10885	4687
699	10902	4672
700	10917	4656
701	10932	4641
702	10948	4625
703	10963	4609
704	10979	4594
705	10995	4578
706	11012	4563
707	11028	4548
708	11046	4533
709	11063	4518
710	11080	4503
711	11096	4488
712	11111	4472
713	11127	4457
714	11142	4441
715	11157	4425
716	11172	4409
717	11189	4394
718	11205	4379
719	11221	4363
720	11236	4348
721	11252	4332
722	11268	4317
723	11285	4302
724	11299	4286
725	11314	4270
726	11329	4254
727	11344	4238
728	11360	4223
729	11375	4207
730	11391	4191
731	11407	4176
732	11424	4161
733	11441	4146
734	11459	4131
735	11477	4116
736	11494	4101
737	11510	4086
738	11524	4070
739	11539	4054
740	11554	4038
741	11569	4022
742	11584	4007
743	11601	3991
744	11617	3976
745	11634	3961
746	11653	3946
747	11670	3931
748	11687	3916
749	11705	3901
750	11720	3885
751	11735	3870
752	11751	3854
753	11766	3839
754	11781	3823
755	11796	3807
756	11813	3792
757	11829	3776
758	11845	3761
759	11863	3746
760	11881	3731
761	11898	3716
762	11913	3700
763	11928	3684
764	11944	3669
765	11958	3653
766	11972	3637
767	11987	3621
768	12002	3605
769	12016	3589
770	12034	3574
771	12051	3559
772	12068	3543
773	12084	3528
774	12100	3513
775	12117	3497
776	12133	3482
777	12147	3466
778	12161	3450
779	12175	3434
780	12188	3417
781	12199	3401
782	12212	3384
783	12226	3368
784	12241	3352
785	12258	3337
786	12275	3322
787	12290	3306
788	12306	3291
789	12321	3275
790	12336	3259
791	12350	3243
792	12363	3227
793	12377	3211
794	12390	3195
795	12404	3179
796	12417	3162
797	12433	3147
798	12449	3131
799	12465	3116
800	12481	3100
801	12497	3085
802	12513	3069
803	12529	3054
804	12543	3038
805	12558	3022
806	12574	3007
807	12590	2991
808	12605	2976
809	12620	2960
810	12636	2944
811	12652	2929
812	12671	2914
813	12688	2899
814	12705	2884
815	12723	2869
816	12741	2853
817	12757	2838
818	12772	2822
819	12788	2807
820	12803	2791
821	12818	2775
822	12833	2760
823	12850	2744
824	12866	2729
825	12884	2714
826	12903	2699
827	12919	2683
828	12936	2668
829	12952	2652
830	12966	2637
831	12981	2621
832	12996	2605
833	13011	2589
834	13026	2574
835	13041	2558
836	13057	2542
837	13074	2527
838	13090	2511
839	13106	2496
840	13122	2480
841	13138	2465
842	13155	2450
843	13170	2434
844	13185	2418
845	13200	2402
846	13214	2387
847	13229	2371
848	13244	2355
849	13259	2339
850	13276	2324
851	13293	2309
852	13310	2293
853	13326	2278
854	13343	2262
855	13360	2247
856	13376	2232
857	13391	2216
858	13406	2200
859	13420	2184
860	13435	2169
861	13450	2153
862	13466	2137
863	13482	2122
864	13499	2106
865	13515	2091
866	13533	2076
867	13550	2060
868	13566	2045
869	13581	2029
870	13595	2013
871	13608	1997
872	13620	1981
873	13632	1965
874	13645	1949
