iter	Logloss
0	0.6613362866
1	0.6375963252
2	0.6195194539
3	0.601053402
4	0.5782984365
5	0.5674533253
6	0.5529416757
7	0.5419410751
8	0.5335007379
9	0.5166799719
10	0.5055237317
11	0.4883060942
12	0.4818393593
13	0.4713917095
14	0.4655238341
15	0.4582173317
16	0.4518159965
17	0.4455934426
18	0.4376565749
19	0.4308425369
20	0.4273991122
21	0.4231802677
22	0.418225746
23	0.4141658341
24	0.4077646535
25	0.4021221879
26	0.3953245285
27	0.3889339936
28	0.380415574
29	0.3761334317
30	0.3733789401
31	0.3718693825
32	0.365792577
33	0.3623301808
34	0.3558367522
35	0.3525534396
36	0.3484513274
37	0.3442415769
38	0.340509503
39	0.3360084147
40	0.3314855844
41	0.3260508676
42	0.3231022053
43	0.3182995025
44	0.3135744083
45	0.3112427966
46	0.3066872324
47	0.3031233966
48	0.2991939476
49	0.2969498796
50	0.2936762492
51	0.2890789825
52	0.2848094758
53	0.2824779572
54	0.2800714637
55	0.2764187148
56	0.2738037731
57	0.2717638641
58	0.2670420956
59	0.2636493994
60	0.262225901
61	0.2578969042
62	0.2527019371
63	0.2500481982
64	0.2472732108
65	0.2463811234
66	0.2422957197
67	0.2385439621
68	0.2348736942
69	0.2322507852
70	0.2267773976
71	0.2225881845
72	0.2179434183
73	0.2159244783
74	0.2141364949
75	0.2098989427
76	0.2073170381
77	0.2038870807
78	0.2010654242
79	0.1954877259
80	0.1943022139
81	0.1890812898
82	0.1849916361
83	0.1826187344
84	0.1815237295
85	0.1803739674
86	0.1768228244
87	0.1751956904
88	0.172756104
89	0.1718897206
90	0.1701568323
91	0.1651465544
92	0.1624917559
93	0.1615000568
94	0.1581426266
95	0.1559496734
96	0.1550213819
97	0.1530114298
98	0.1510419409
99	0.1460323259
100	0.145054619
101	0.1437494463
102	0.1405260801
103	0.1398127658
104	0.1386243537
105	0.1379738039
106	0.1358967328
107	0.1324458557
108	0.1305393746
109	0.1275814816
110	0.1262334118
111	0.1256344442
112	0.1236901679
113	0.120378215
114	0.1197418654
115	0.1171434951
116	0.1165607864
117	0.1146228754
118	0.1134339689
119	0.1129513934
120	0.1102362909
121	0.109360596
122	0.1071360142
123	0.1060535411
124	0.1055583216
125	0.1043581168
126	0.1031834269
127	0.1008342263
128	0.1003049036
129	0.09920273013
130	0.09835435732
131	0.0979811331
132	0.09628492758
133	0.09593092938
134	0.09485600491
135	0.0930058338
136	0.09234836326
137	0.09047951555
138	0.09015581632
139	0.08940122818
140	0.08853005489
141	0.08822264308
142	0.0875846784
143	0.08580081414
144	0.08550938746
145	0.08470394367
146	0.0836417602
147	0.08278452329
148	0.08250769684
149	0.08189189226
150	0.08115308774
151	0.0799627967
152	0.07969491258
