,0,1,accuracy,macro avg,weighted avg
precision,0.0,0.92,0.92,0.46,0.8464
recall,0.0,1.0,0.92,0.5,0.92
f1-score,0.0,0.9583333333333334,0.92,0.4791666666666667,0.8816666666666667
support,2.0,23.0,0.92,25.0,25.0
