,0,1,accuracy,macro avg,weighted avg
precision,0.25,1.0,0.76,0.625,0.94
recall,1.0,0.7391304347826086,0.76,0.8695652173913043,0.76
f1-score,0.4,0.85,0.76,0.625,0.8140000000000001
support,2.0,23.0,0.76,25.0,25.0
