,0,1,accuracy,macro avg,weighted avg
precision,1.0,0.88,0.8846153846153846,0.94,0.8984615384615384
recall,0.25,1.0,0.8846153846153846,0.625,0.8846153846153846
f1-score,0.4,0.9361702127659575,0.8846153846153846,0.6680851063829787,0.853682487725041
support,4.0,22.0,0.8846153846153846,26.0,26.0
