,0,1,accuracy,macro avg,weighted avg
precision,0.8,0.875,0.8552631578947368,0.8375,0.8523026315789475
recall,0.6956521739130435,0.9245283018867925,0.8552631578947368,0.810090237899918,0.8552631578947368
f1-score,0.7441860465116279,0.8990825688073395,0.8552631578947368,0.8216343076594836,0.852205989691532
support,23.0,53.0,0.8552631578947368,76.0,76.0
