,0,1,accuracy,macro avg,weighted avg
precision,0.8095238095238095,0.8909090909090909,0.868421052631579,0.8502164502164502,0.8662793347003873
recall,0.7391304347826086,0.9245283018867925,0.868421052631579,0.8318293683347006,0.868421052631579
f1-score,0.7727272727272727,0.9074074074074073,0.868421052631579,0.84006734006734,0.866648945596314
support,23.0,53.0,0.868421052631579,76.0,76.0
