,0,1,accuracy,macro avg,weighted avg
precision,0.6,0.9047619047619048,0.8461538461538461,0.7523809523809524,0.8461538461538461
recall,0.6,0.9047619047619048,0.8461538461538461,0.7523809523809524,0.8461538461538461
f1-score,0.6,0.9047619047619048,0.8461538461538461,0.7523809523809524,0.8461538461538461
support,5.0,21.0,0.8461538461538461,26.0,26.0
