,0,1,accuracy,macro avg,weighted avg
precision,0.6,0.7362637362637363,0.7169811320754716,0.6681318681318682,0.6938420070495543
recall,0.2727272727272727,0.9178082191780822,0.7169811320754716,0.5952677459526774,0.7169811320754716
f1-score,0.37499999999999994,0.8170731707317073,0.7169811320754716,0.5960365853658536,0.6794466175793833
support,33.0,73.0,0.7169811320754716,106.0,106.0
