,0,1,accuracy,macro avg,weighted avg
precision,0.5833333333333334,0.7446808510638298,0.7264150943396226,0.6640070921985816,0.6974943128596279
recall,0.22580645161290322,0.9333333333333333,0.7264150943396226,0.5795698924731183,0.7264150943396226
f1-score,0.3255813953488372,0.8284023668639054,0.7264150943396226,0.5769918811063713,0.6813509506661025
support,31.0,75.0,0.7264150943396226,106.0,106.0
